Depth (m.w.e.),Muon flux (cm^-2 sec^-1),Name
6008.3217753121,3.7260478147447E-10,SNOLAB
1583.9112343967,4.76909877917988E-07,WIPP
1950.0693481276,1.98428493566472E-07,Soudan
2052.7045769764,1.60061733383908E-07,Kamioka
2804.4382801664,4.11266733095557E-08,Boulby
3095.7004160888,2.48143930501458E-08,LNGS
4152.5658807212,5.51426991299423E-09,Frejus
4296.8099861304,4.44806884715333E-09,SURF
#6720,,Jinpng
